"State","Region","DPS_2019","DPS_2018","DPS_2009","DPS_1990"
"Alabama","South","3","3","3","3"
"Alaska","West","1","1","1","1"
"Arizona","West","3","3","3","3"
"Arkansas","South","3","3","3","3"
"California","West","2","3","3","3"
"Colorado","West","2","2","3","3"
"Connecticut","Northeast","1","1","3","3"
"Delaware","Northeast","1","1","3","3"
"Florida","South","3","3","3","3"
"Georgia","South","3","3","3","3"
"Hawaii","West","1","1","1","1"
"Idaho","West","3","3","3","3"
"Illinois","Midwest","1","1","2","3"
"Indiana","Midwest","3","3","3","3"
"Iowa","Midwest","1","1","1","1"
"Kansas","Midwest","3","3","3","1"
"Kentucky","South","3","3","3","3"
"Louisiana","South","3","3","3","3"
"Maine","Northeast","1","1","1","1"
"Maryland","Northeast","1","1","3","3"
"Massachusetts","Northeast","1","1","1","1"
"Michigan","Midwest","1","1","1","1"
"Minnesota","Midwest","1","1","1","1"
"Mississippi","South","3","3","3","3"
"Missouri","Midwest","3","3","3","3"
"Montana","West","3","3","3","3"
"Nebraska","Midwest","3","3","3","3"
"Nevada","West","3","3","3","3"
"New Hampshire","Northeast","1","3","3","1"
"New Jersey","Northeast","1","1","1","1"
"New Mexico","West","1","1","1","1"
"New York","Northeast","1","1","1","1"
"North Carolina","South","3","3","3","3"
"North Dakota","Midwest","1","1","1","1"
"Ohio","Midwest","3","3","3","3"
"Oklahoma","South","3","3","3","3"
"Oregon","West","2","2","3","3"
"Pennsylvania","Northeast","2","2","3","3"
"Rhode Island","Northeast","1","1","1","1"
"South Carolina","South","3","3","3","3"
"South Dakota","Midwest","3","3","3","3"
"Tennessee","South","3","3","3","3"
"Texas","South","3","3","3","3"
"Utah","West","3","3","3","3"
"Vermont","Northeast","1","1","1","1"
"Virginia","South","3","3","3","3"
"Washington","West","1","1","1","1"
"West Virginia","South","1","1","1","1"
"Wisconsin","Midwest","1","1","1","1"
"Wyoming","West","3","3","3","3"
